BrowseEncoderPanelLabel | type=Mesh | parent=ChassisKnobPanelLabels | c=0 | pos=(0.000, 0.060, 0.113) | rot=(1.571, 0.000, 0.000)
BrowseEncoderPivot | type=Object3D | parent=Mixer | c=3 | pos=(0.000, 0.060, 0.122) | rot=(0.000, 0.000, 0.000)
BrowseEncoderTopCap | type=Mesh | parent=BrowseEncoderPivot | c=0 | pos=(0.000, 0.011, 0.000) | rot=(0.000, 0.000, 0.000)
CenterRightPanelSeam | type=Mesh | parent=Chassis | c=0 | pos=(0.077, 0.060, 0.000) | rot=(0.000, 0.000, 0.000)
CenterSection | type=Object3D | parent=ControllerRoot | c=2 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
CenterSectionInsetPanel | type=Mesh | parent=Chassis | c=0 | pos=(0.000, 0.059, 0.000) | rot=(0.000, 0.000, 0.000)
CenterSectionLabel | type=Mesh | parent=ChassisPanelLabels | c=0 | pos=(0.000, 0.060, -0.121) | rot=(1.571, 0.000, 0.000)
CFX1Mesh | type=Mesh | parent=CFX1Pivot | c=0 | pos=(0.000, 0.004, 0.000) | rot=(0.000, 0.000, 0.000)
CFX1OrientationMarker | type=Mesh | parent=CFX1Pivot | c=0 | pos=(0.000, 0.011, 0.003) | rot=(-1.571, 0.000, 0.000)
CFX1PanelLabel | type=Mesh | parent=ChassisKnobPanelLabels | c=0 | pos=(-0.020, 0.060, -0.010) | rot=(1.571, 0.000, 0.000)
CFX1Pivot | type=Object3D | parent=Mixer | c=3 | pos=(-0.020, 0.060, -0.002) | rot=(0.000, 0.000, 0.000)
CFX1TopCap | type=Mesh | parent=CFX1Pivot | c=0 | pos=(0.000, 0.010, 0.000) | rot=(0.000, 0.000, 0.000)
CFX2Mesh | type=Mesh | parent=CFX2Pivot | c=0 | pos=(0.000, 0.004, 0.000) | rot=(0.000, 0.000, 0.000)
CFX2OrientationMarker | type=Mesh | parent=CFX2Pivot | c=0 | pos=(0.000, 0.011, 0.003) | rot=(-1.571, 0.000, 0.000)
CFX2PanelLabel | type=Mesh | parent=ChassisKnobPanelLabels | c=0 | pos=(0.020, 0.060, -0.010) | rot=(1.571, 0.000, 0.000)
CFX2Pivot | type=Object3D | parent=Mixer | c=3 | pos=(0.020, 0.060, -0.002) | rot=(0.000, 0.000, 0.000)
CFX2TopCap | type=Mesh | parent=CFX2Pivot | c=0 | pos=(0.000, 0.010, 0.000) | rot=(0.000, 0.000, 0.000)
Channel1ScaleTick0 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.090) | rot=(-1.571, 0.000, 0.000)
Channel1ScaleTick1 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.084) | rot=(-1.571, 0.000, 0.000)
Channel1ScaleTick2 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.078) | rot=(-1.571, 0.000, 0.000)
Channel1ScaleTick3 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.072) | rot=(-1.571, 0.000, 0.000)
Channel1ScaleTick4 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.066) | rot=(-1.571, 0.000, 0.000)
Channel1ScaleTick5 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.060) | rot=(-1.571, 0.000, 0.000)
Channel1ScaleTick6 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.054) | rot=(-1.571, 0.000, 0.000)
Channel1ScaleTick7 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.031, 0.060, -0.048) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick0 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.090) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick1 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.084) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick2 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.078) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick3 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.072) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick4 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.066) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick5 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.060) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick6 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.054) | rot=(-1.571, 0.000, 0.000)
Channel2ScaleTick7 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.009, 0.060, -0.048) | rot=(-1.571, 0.000, 0.000)
ChannelCue1 | type=Object3D | parent=Mixer | c=2 | pos=(-0.020, 0.060, -0.028) | rot=(0.000, 0.000, 0.000)
ChannelCue1Bezel | type=Mesh | parent=ChannelCue1 | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelCue1Body | type=Mesh | parent=ChannelCue1Mesh | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
ChannelCue1Label | type=Mesh | parent=ChannelCue1Mesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(-1.571, 0.000, 0.000)
